id,type,domain,enabled,date_added,date_modified,comment
4,2,(\.|^)ow\.ly$,1,1609863262,1610645678,
5,2,(\.|^)tinyurl\.com$,1,1609863276,1610645678,
6,2,(\.|^)shopify\.com$,1,1609863286,1610645678,
7,2,(\.|^)cdn\.optimizely\.com$,1,1609863298,1610645678,
8,2,(\.|^)bit\.ly$,1,1609863321,1610645678,
9,2,(\.|^)www\.bit\.ly$,1,1609863328,1610645678,
10,1,aff.com,1,1609881000,1610645658,
11,1,adultfriendfinder.com,1,1609881007,1610645658,
12,1,wifelovers.com,1,1609881020,1610645658,
13,0,kink.com,1,1610763799,1610763799,
14,0,pihole1.ellmer.family,1,1610731393,1610820053,"PiHole .3"
15,2,(\.|^)ellmer\.family$,1,1610936288,1610936288,
